# sqrt_k_eta0 h omega_b omega_cdm A_s n_s
3.70348624e+00 6.84868961e-01 2.22342762e-02 1.15150038e-01 2.06003910e-09 9.63698640e-01
3.71944105e+00 7.00798012e-01 2.18485140e-02 1.26793927e-01 2.05653062e-09 9.67065845e-01
3.56935609e+00 6.90959242e-01 2.21554818e-02 1.19344523e-01 2.02235308e-09 9.60081963e-01
3.68448699e+00 7.28258840e-01 2.21835603e-02 1.19265019e-01 2.15892068e-09 9.69098346e-01
3.77499224e+00 7.07410187e-01 2.16757304e-02 1.20213789e-01 2.05783140e-09 9.69202632e-01
3.56529087e+00 6.91127365e-01 2.18739060e-02 1.16063808e-01 2.08429793e-09 9.71132495e-01
3.78211390e+00 6.91781003e-01 2.19195457e-02 1.19523533e-01 2.04392807e-09 9.63861100e-01
3.95235277e+00 7.20193831e-01 2.21357269e-02 1.23109746e-01 2.23996634e-09 9.65583974e-01
4.02402353e+00 7.17063641e-01 2.18804923e-02 1.19552600e-01 2.01846294e-09 9.65590967e-01
3.45892984e+00 7.15607497e-01 2.17928607e-02 1.23343433e-01 2.33374816e-09 9.68680517e-01
3.62774148e+00 7.11086144e-01 2.17789591e-02 1.22122435e-01 2.08013843e-09 9.67205512e-01
3.67383790e+00 7.15235062e-01 2.19964503e-02 1.13617534e-01 1.96122156e-09 9.66308994e-01
3.27584203e+00 6.95495474e-01 2.21740677e-02 1.15972245e-01 1.95304496e-09 9.67156917e-01
3.40587622e+00 6.92206213e-01 2.18930439e-02 1.20911581e-01 2.06165513e-09 9.65985362e-01
3.07777529e+00 6.79786793e-01 2.19745448e-02 1.21249242e-01 2.21784826e-09 9.69254464e-01
3.84585434e+00 6.78456961e-01 2.16843305e-02 1.26477262e-01 2.17327837e-09 9.53472566e-01
3.70528808e+00 6.57459911e-01 2.18546134e-02 1.15224057e-01 2.00501972e-09 9.63033425e-01
3.66656012e+00 6.94573184e-01 2.22422583e-02 1.25741981e-01 2.02941056e-09 9.64178211e-01
3.49102779e+00 7.15558461e-01 2.21370390e-02 1.11437160e-01 1.93367366e-09 9.68087743e-01
3.67132119e+00 7.08359915e-01 2.19679293e-02 1.23682552e-01 2.17653614e-09 9.68776992e-01
3.69764785e+00 7.17635866e-01 2.19219909e-02 1.18602612e-01 2.12007672e-09 9.57913401e-01
3.65084656e+00 7.29186126e-01 2.23266000e-02 1.20340543e-01 2.13972716e-09 9.70649766e-01
3.55990499e+00 6.75117878e-01 2.17410383e-02 1.23944960e-01 2.16243440e-09 9.66728834e-01
3.95538071e+00 7.03002929e-01 2.16269625e-02 1.19088111e-01 2.03962256e-09 9.60781123e-01
3.66049527e+00 7.08572367e-01 2.18167689e-02 1.14334581e-01 2.13240533e-09 9.64068130e-01
3.61787171e+00 7.01825441e-01 2.18921466e-02 1.15460208e-01 2.12024820e-09 9.64492947e-01
3.53522545e+00 7.02968000e-01 2.19811175e-02 1.23946102e-01 2.34922241e-09 9.62538817e-01
3.70482537e+00 7.08029830e-01 2.19829384e-02 1.20346026e-01 2.21475843e-09 9.67939196e-01
3.56738885e+00 7.03926994e-01 2.21455487e-02 1.20644615e-01 2.32702190e-09 9.60783588e-01
3.66719737e+00 6.64502615e-01 2.24838006e-02 1.19419377e-01 2.28534970e-09 9.59039954e-01
3.85889820e+00 7.00650270e-01 2.20849355e-02 1.22726003e-01 2.01759969e-09 9.64910579e-01
3.85786856e+00 6.87330836e-01 2.24093843e-02 1.21242588e-01 1.99762248e-09 9.67004676e-01
3.55456654e+00 7.02460108e-01 2.18903070e-02 1.23638469e-01 2.24758238e-09 9.67336935e-01
3.48520739e+00 7.07018258e-01 2.15742421e-02 1.24032461e-01 2.04491397e-09 9.59459385e-01
3.51838043e+00 7.03142511e-01 2.21116237e-02 1.28175662e-01 2.05314195e-09 9.64836837e-01
3.91220205e+00 6.99747738e-01 2.20546662e-02 1.21879311e-01 2.12030061e-09 9.66547710e-01
3.50906653e+00 7.04108679e-01 2.22300257e-02 1.14385270e-01 2.17868433e-09 9.62031501e-01
3.73079326e+00 7.19549813e-01 2.21154718e-02 1.26463312e-01 2.10292368e-09 9.66037854e-01
3.78516327e+00 6.95096134e-01 2.20416022e-02 1.19396308e-01 2.06374718e-09 9.50804704e-01
3.91064104e+00 6.56273973e-01 2.22554208e-02 1.14208459e-01 2.22415737e-09 9.62908618e-01
3.68744132e+00 6.89445993e-01 2.22190360e-02 1.13970439e-01 2.14811874e-09 9.62733097e-01
3.74929972e+00 7.14239708e-01 2.19886462e-02 1.17090968e-01 2.12256115e-09 9.67274617e-01
3.58437974e+00 7.02069104e-01 2.20580248e-02 1.18830386e-01 1.87676863e-09 9.59313000e-01
4.12308319e+00 6.94770128e-01 2.18672406e-02 1.24811347e-01 2.08369372e-09 9.59590616e-01
3.51958711e+00 7.37167842e-01 2.22078622e-02 1.16875254e-01 2.05634126e-09 9.70006090e-01
3.71257641e+00 7.00981256e-01 2.21257856e-02 1.19911672e-01 2.12593437e-09 9.62934806e-01
3.48404766e+00 6.72974449e-01 2.19540025e-02 1.16800559e-01 2.03067882e-09 9.70577570e-01
3.62731621e+00 6.83447233e-01 2.18196858e-02 1.22808328e-01 2.22138063e-09 9.60030896e-01
3.24970137e+00 7.14652973e-01 2.20576439e-02 1.15739279e-01 2.00882643e-09 9.66156309e-01
3.59662256e+00 7.29884316e-01 2.19798443e-02 1.24789188e-01 2.27247369e-09 9.72617822e-01
3.58298575e+00 7.16681824e-01 2.22586912e-02 1.22664415e-01 2.02606965e-09 9.59023438e-01
3.55740195e+00 7.23571006e-01 2.18106361e-02 1.20110960e-01 2.03198347e-09 9.65778549e-01
3.73486281e+00 6.72841897e-01 2.18926368e-02 1.16590171e-01 1.92954107e-09 9.73161970e-01
3.57976772e+00 6.92422014e-01 2.21277492e-02 1.17213125e-01 2.19061523e-09 9.63291362e-01
3.35907154e+00 7.12598389e-01 2.20410140e-02 1.14387037e-01 1.98592828e-09 9.70542981e-01
3.74282301e+00 7.05068880e-01 2.14647576e-02 1.27105307e-01 2.04574648e-09 9.66583349e-01
3.41124384e+00 7.18979994e-01 2.20747170e-02 1.23152472e-01 1.93342076e-09 9.64824076e-01
3.40519415e+00 6.85831085e-01 2.20463293e-02 1.13109979e-01 1.89205540e-09 9.59405393e-01
3.60308159e+00 7.16550949e-01 2.21902333e-02 1.19883646e-01 1.96807040e-09 9.55262713e-01
3.91500754e+00 6.92283343e-01 2.24748747e-02 1.26898572e-01 2.04979306e-09 9.68142212e-01
3.66359783e+00 6.75112659e-01 2.23085270e-02 1.20529252e-01 2.11556727e-09 9.66655055e-01
3.85782564e+00 7.05253234e-01 2.20016701e-02 1.14582044e-01 2.08437587e-09 9.69108771e-01
3.58330325e+00 6.41812533e-01 2.21457767e-02 1.18722125e-01 2.05795441e-09 9.60532693e-01
3.66070290e+00 6.99912043e-01 2.19133858e-02 1.25527487e-01 2.06050283e-09 9.61783784e-01
3.38386663e+00 6.99252681e-01 2.19995601e-02 1.24091083e-01 2.00807064e-09 9.68094518e-01
3.76824470e+00 6.85821006e-01 2.18022095e-02 1.23814306e-01 2.28900872e-09 9.63840484e-01
3.45225776e+00 6.88557943e-01 2.17758094e-02 1.22665079e-01 2.03580858e-09 9.68515592e-01
3.69156297e+00 6.99181783e-01 2.16662384e-02 1.22212618e-01 1.96621674e-09 9.61661248e-01
3.80882061e+00 7.12794738e-01 2.19931338e-02 1.20745067e-01 2.00301806e-09 9.70068803e-01
3.50597311e+00 7.11125004e-01 2.21261212e-02 1.19153883e-01 2.01736394e-09 9.62013576e-01
3.51333184e+00 6.90254720e-01 2.18243172e-02 1.21790252e-01 2.04867535e-09 9.64533091e-01
3.90654663e+00 7.03680706e-01 2.23044950e-02 1.24392722e-01 2.21168742e-09 9.58633580e-01
3.85890665e+00 7.28212285e-01 2.17925855e-02 1.23244776e-01 2.16761121e-09 9.70790959e-01
3.10395831e+00 7.12444130e-01 2.21532561e-02 1.22181520e-01 2.04012886e-09 9.59574721e-01
3.59350161e+00 7.18466674e-01 2.19274516e-02 1.18247535e-01 2.00941526e-09 9.57284886e-01
3.58489650e+00 7.05132064e-01 2.20479524e-02 1.25568913e-01 2.07740161e-09 9.68969697e-01
3.39939966e+00 7.18580853e-01 2.19672852e-02 1.20652222e-01 2.25517040e-09 9.62151649e-01
3.40997374e+00 6.83260200e-01 2.17626795e-02 1.20156097e-01 1.91866256e-09 9.63705079e-01
3.57432424e+00 6.55784194e-01 2.21892654e-02 1.20547734e-01 2.11736040e-09 9.68887186e-01
3.42248040e+00 7.04748510e-01 2.19305159e-02 1.19109719e-01 1.95852976e-09 9.66958279e-01
3.41826934e+00 7.05936416e-01 2.19900028e-02 1.14747500e-01 2.15460450e-09 9.67819478e-01
3.90552953e+00 6.98320848e-01 2.20133527e-02 1.22808822e-01 2.05418712e-09 9.60543990e-01
3.76590470e+00 7.37400084e-01 2.21788942e-02 1.21169000e-01 2.05953463e-09 9.63883131e-01
3.64906795e+00 6.82376580e-01 2.18239951e-02 1.19784126e-01 1.97046179e-09 9.60050796e-01
3.45050955e+00 7.01853907e-01 2.19573219e-02 1.27707751e-01 2.07036770e-09 9.71625962e-01
3.61633792e+00 6.90407852e-01 2.19143114e-02 1.21726134e-01 2.11982497e-09 9.63557168e-01
3.52999874e+00 7.03871570e-01 2.22582423e-02 1.29103138e-01 2.21462752e-09 9.65626348e-01
3.69262986e+00 6.88127385e-01 2.22063085e-02 1.17987345e-01 2.21643737e-09 9.67538242e-01
3.41282743e+00 6.93573512e-01 2.17251140e-02 1.17590694e-01 2.07403474e-09 9.66567714e-01
3.20319347e+00 6.93028783e-01 2.18157303e-02 1.12883655e-01 2.23054448e-09 9.64376253e-01
3.82804766e+00 6.75506454e-01 2.19332403e-02 1.22043458e-01 2.04201690e-09 9.67875774e-01
3.55708900e+00 7.33414122e-01 2.19113994e-02 1.29608693e-01 2.25830034e-09 9.67667290e-01
3.92576558e+00 6.89312875e-01 2.23374253e-02 1.17511563e-01 2.15991797e-09 9.65084930e-01
3.39976410e+00 7.07091277e-01 2.21220843e-02 1.14624183e-01 2.07964044e-09 9.60417665e-01
3.52957595e+00 7.11498786e-01 2.21361623e-02 1.12264082e-01 2.14877560e-09 9.63267256e-01
3.52612551e+00 6.77202650e-01 2.16978687e-02 1.18448400e-01 2.02018976e-09 9.70030126e-01
3.88070557e+00 6.85489499e-01 2.18607598e-02 1.19941128e-01 2.02867575e-09 9.61614359e-01
3.55678364e+00 6.93246877e-01 2.17382329e-02 1.20350510e-01 2.03895028e-09 9.65104495e-01
3.85967492e+00 6.80633039e-01 2.20674253e-02 1.17023211e-01 2.00652864e-09 9.61390709e-01
3.98937644e+00 6.78939883e-01 2.20049749e-02 1.17687628e-01 2.11932986e-09 9.70591289e-01
4.27332522e+00 6.52555725e-01 2.21702019e-02 1.25331385e-01 2.15134140e-09 9.69352891e-01
3.86921512e+00 7.10549725e-01 2.18141563e-02 1.15736526e-01 2.20580174e-09 9.58310867e-01
3.42641476e+00 6.87641121e-01 2.21207929e-02 1.17360145e-01 2.01667131e-09 9.64908225e-01
3.51788930e+00 7.14136091e-01 2.21340691e-02 1.17478140e-01 2.07997308e-09 9.62821331e-01
3.58253807e+00 7.21910303e-01 2.19452663e-02 1.24714335e-01 1.88639531e-09 9.69797057e-01
3.68871570e+00 6.61205238e-01 2.19626928e-02 1.09882045e-01 2.28611496e-09 9.71898890e-01
3.69012502e+00 6.74114081e-01 2.20035732e-02 1.12511515e-01 2.16996938e-09 9.67373015e-01
3.77166398e+00 6.59012284e-01 2.17707859e-02 1.19843700e-01 2.05558664e-09 9.63013605e-01
3.68137730e+00 6.96350512e-01 2.18102078e-02 1.26214021e-01 1.93348175e-09 9.58083330e-01
3.94623829e+00 7.01369177e-01 2.22122713e-02 1.20792307e-01 2.08036558e-09 9.58892549e-01
3.80194644e+00 7.21242266e-01 2.21092550e-02 1.16395079e-01 2.24607104e-09 9.67944680e-01
3.55334681e+00 7.11210300e-01 2.19707438e-02 1.19554944e-01 2.01587010e-09 9.69211300e-01
3.36322963e+00 6.87811810e-01 2.19259780e-02 1.18780563e-01 2.10810978e-09 9.65315261e-01
3.81281259e+00 6.97632493e-01 2.19740111e-02 1.16891986e-01 2.05493379e-09 9.63437554e-01
3.45390136e+00 6.89882403e-01 2.21651682e-02 1.23710434e-01 2.01426207e-09 9.74862269e-01
3.80279182e+00 6.92636763e-01 2.16009089e-02 1.20115787e-01 2.10591368e-09 9.65769523e-01
3.58359474e+00 7.08119269e-01 2.24027985e-02 1.27695985e-01 2.09925816e-09 9.63631595e-01
3.45117175e+00 7.23653823e-01 2.19559267e-02 1.20919348e-01 2.04254158e-09 9.63412542e-01
3.53319375e+00 6.97172126e-01 2.19404107e-02 1.16206050e-01 2.11525407e-09 9.60614301e-01
3.84488528e+00 6.95099014e-01 2.18250492e-02 1.17705265e-01 2.21025303e-09 9.69716309e-01
3.24307265e+00 6.86016702e-01 2.16050089e-02 1.22282962e-01 2.06381818e-09 9.64391213e-01
3.70927382e+00 7.20807639e-01 2.16795951e-02 1.17552847e-01 2.03813350e-09 9.61119011e-01
3.76753042e+00 6.87237673e-01 2.19450584e-02 1.24841071e-01 2.06236164e-09 9.68432984e-01
3.79569766e+00 7.23526942e-01 2.19624706e-02 1.26037948e-01 1.99645065e-09 9.65803032e-01
3.00611779e+00 7.02950758e-01 2.18515375e-02 1.21889271e-01 2.14629024e-09 9.66904357e-01
3.68897416e+00 6.84157303e-01 2.20983565e-02 1.17975990e-01 2.05675319e-09 9.69103990e-01
3.32537973e+00 7.23458441e-01 2.21985064e-02 1.16814459e-01 2.13493499e-09 9.74036823e-01
4.01275505e+00 7.03981286e-01 2.15447388e-02 1.22865679e-01 1.94502005e-09 9.70728175e-01
3.39772570e+00 7.26332268e-01 2.21192491e-02 1.19592921e-01 1.99068877e-09 9.60247152e-01
3.59692649e+00 6.73763461e-01 2.22601207e-02 1.18335420e-01 2.13182262e-09 9.60740262e-01
3.52288362e+00 6.92660478e-01 2.21901719e-02 1.18929030e-01 2.19566824e-09 9.61122692e-01
3.63256896e+00 6.75902274e-01 2.21905300e-02 1.13283229e-01 2.23884653e-09 9.63625475e-01
3.53737009e+00 6.88253474e-01 2.19884749e-02 1.17262499e-01 2.04155073e-09 9.74353296e-01
3.35495396e+00 7.01567475e-01 2.18031636e-02 1.18657391e-01 2.08385687e-09 9.64489735e-01
3.25736946e+00 7.13594064e-01 2.19017808e-02 1.15333998e-01 2.33306995e-09 9.64287255e-01
3.56864225e+00 6.64283358e-01 2.21464081e-02 1.16295922e-01 2.10986115e-09 9.71614763e-01
3.18168916e+00 7.05786149e-01 2.22112532e-02 1.15728747e-01 2.17725584e-09 9.65611389e-01
3.45240278e+00 6.84424302e-01 2.21443086e-02 1.21421177e-01 2.06513429e-09 9.62950180e-01
3.24722475e+00 7.00733163e-01 2.17848726e-02 1.22519482e-01 2.11832354e-09 9.70569516e-01
3.15178019e+00 7.24914432e-01 2.19576307e-02 1.20836908e-01 1.95402332e-09 9.63108820e-01
3.71727806e+00 6.45026301e-01 2.16126518e-02 1.14857822e-01 2.07371582e-09 9.63157320e-01
3.49461905e+00 6.98242790e-01 2.19595803e-02 1.23668395e-01 2.19815379e-09 9.66122665e-01
3.48544850e+00 6.89592143e-01 2.18446598e-02 1.16046588e-01 2.15371972e-09 9.65529974e-01
3.67228675e+00 7.26970991e-01 2.18514604e-02 1.24522319e-01 2.14826666e-09 9.64792387e-01
3.74941469e+00 7.13645911e-01 2.18542983e-02 1.17812381e-01 2.11009631e-09 9.65557590e-01
3.61933320e+00 6.93396218e-01 2.21456736e-02 1.21312288e-01 2.35311272e-09 9.66750542e-01
3.40949565e+00 7.15844061e-01 2.20250618e-02 1.15902746e-01 2.21408859e-09 9.65453115e-01
3.64135630e+00 6.70798119e-01 2.16952891e-02 1.17637712e-01 2.06759361e-09 9.65529046e-01
3.61957565e+00 7.24889124e-01 2.19902932e-02 1.15632602e-01 2.02617040e-09 9.65463525e-01
3.60325057e+00 6.75138431e-01 2.16061655e-02 1.15434559e-01 2.14055576e-09 9.62915379e-01
3.43734396e+00 6.90771747e-01 2.22319336e-02 1.18769320e-01 2.16691474e-09 9.66589421e-01
3.72250732e+00 7.27623105e-01 2.19914919e-02 1.24728499e-01 2.11530359e-09 9.65303193e-01
3.72313022e+00 6.60154176e-01 2.21926087e-02 1.20409878e-01 2.13593997e-09 9.66423146e-01
3.44012673e+00 7.22417900e-01 2.19476313e-02 1.18103448e-01 2.08879791e-09 9.63859298e-01
3.57271411e+00 7.25712555e-01 2.21507172e-02 1.20213641e-01 2.06446072e-09 9.68162923e-01
3.85495874e+00 7.04672375e-01 2.17367991e-02 1.25584330e-01 2.13366995e-09 9.67419521e-01
3.73506349e+00 6.98793427e-01 2.23603906e-02 1.18659605e-01 2.02458863e-09 9.67602763e-01
3.67308021e+00 7.27344251e-01 2.19788691e-02 1.19992560e-01 2.13168016e-09 9.62949832e-01
3.58945284e+00 6.90855502e-01 2.24905669e-02 1.15796231e-01 2.08279218e-09 9.68412196e-01
3.52874735e+00 6.92259966e-01 2.21763201e-02 1.24269151e-01 2.20796880e-09 9.71569358e-01
3.57926566e+00 6.82341014e-01 2.19605285e-02 1.25346594e-01 2.19267819e-09 9.62891590e-01
3.72675269e+00 7.03079756e-01 2.18944491e-02 1.23260415e-01 2.03221300e-09 9.59133614e-01
3.79142888e+00 7.07546845e-01 2.19233518e-02 1.24407888e-01 2.22210575e-09 9.63694075e-01
3.75000155e+00 7.12081431e-01 2.22178171e-02 1.21004926e-01 1.95480151e-09 9.71612505e-01
3.50429824e+00 6.99786736e-01 2.17878238e-02 1.13988521e-01 1.90537331e-09 9.69054367e-01
3.60746663e+00 7.02666077e-01 2.17413755e-02 1.18709834e-01 2.02170397e-09 9.63786639e-01
3.61799744e+00 7.05845820e-01 2.22355412e-02 1.23531019e-01 2.21507654e-09 9.61011305e-01
3.60929728e+00 6.87791173e-01 2.19210036e-02 1.24799661e-01 2.05481856e-09 9.64378460e-01
3.56929719e+00 7.00223875e-01 2.19898891e-02 1.21680844e-01 2.21909814e-09 9.71245952e-01
3.37341500e+00 7.01941653e-01 2.17936854e-02 1.19821528e-01 2.07818472e-09 9.68091767e-01
3.45427136e+00 7.04310458e-01 2.15886527e-02 1.15005069e-01 2.22669702e-09 9.67888178e-01
3.40908658e+00 7.18864663e-01 2.22385403e-02 1.24143314e-01 2.20314354e-09 9.65718567e-01
3.47496810e+00 7.35082348e-01 2.21330194e-02 1.23984216e-01 2.22540512e-09 9.64713775e-01
3.82804088e+00 6.97212064e-01 2.20260297e-02 1.22693715e-01 2.05608058e-09 9.63199578e-01
3.90871770e+00 6.96501492e-01 2.16466065e-02 1.25580764e-01 2.02871435e-09 9.67483819e-01
3.50188973e+00 6.71670693e-01 2.20465176e-02 1.28649480e-01 2.02962644e-09 9.62185087e-01
3.76232779e+00 7.13684896e-01 2.17323138e-02 1.27522840e-01 2.23281413e-09 9.63605237e-01
3.48937553e+00 7.10047713e-01 2.23088335e-02 1.17702943e-01 2.18905455e-09 9.61097301e-01
3.78737340e+00 7.00825514e-01 2.19068346e-02 1.18179282e-01 2.20001525e-09 9.62114020e-01
3.55575617e+00 7.44426138e-01 2.19349323e-02 1.16965428e-01 1.91650595e-09 9.60569187e-01
3.79246518e+00 6.93983672e-01 2.22603414e-02 1.24142945e-01 2.14781744e-09 9.64263454e-01
3.32509154e+00 7.06547626e-01 2.18111099e-02 1.13318915e-01 2.13246271e-09 9.69130196e-01
3.81081707e+00 6.74445084e-01 2.21289187e-02 1.23227192e-01 2.04955479e-09 9.60091699e-01
3.59524198e+00 6.81020008e-01 2.16824705e-02 1.24010464e-01 1.91289838e-09 9.69307167e-01
3.48235892e+00 6.93229686e-01 2.19527453e-02 1.14289527e-01 1.95044609e-09 9.59837109e-01
3.52118296e+00 6.80986863e-01 2.21239072e-02 1.19208413e-01 1.94766763e-09 9.61797815e-01
3.52005873e+00 6.78952988e-01 2.20451295e-02 1.24219784e-01 2.12155292e-09 9.65423572e-01
3.44119041e+00 7.06505490e-01 2.20697202e-02 1.21963523e-01 2.09610118e-09 9.68135634e-01
3.73827171e+00 7.03626178e-01 2.16877104e-02 1.20543426e-01 2.13406527e-09 9.66301302e-01
3.81368221e+00 7.52233563e-01 2.21066122e-02 1.18737993e-01 1.99331230e-09 9.70990667e-01
3.49467816e+00 6.76143188e-01 2.16583629e-02 1.22622644e-01 2.02065310e-09 9.65347015e-01
3.57774147e+00 7.17431253e-01 2.17522232e-02 1.23078910e-01 1.95262728e-09 9.62048396e-01
3.67707228e+00 6.50178504e-01 2.17550841e-02 1.26092552e-01 2.07303932e-09 9.61481601e-01
3.72760664e+00 6.84104281e-01 2.18808336e-02 1.20560170e-01 2.06057947e-09 9.63120020e-01
3.72459876e+00 7.08890383e-01 2.22074163e-02 1.16743574e-01 1.91246774e-09 9.66157113e-01
3.57451979e+00 7.26076377e-01 2.20396423e-02 1.17926139e-01 2.12330044e-09 9.64593738e-01
3.58301438e+00 6.97878803e-01 2.19883515e-02 1.25540929e-01 2.25288703e-09 9.66683634e-01
3.58555357e+00 7.11646347e-01 2.18683821e-02 1.19170265e-01 2.45258651e-09 9.66132281e-01
3.70892699e+00 7.09244089e-01 2.18861811e-02 1.16006343e-01 2.29174803e-09 9.75116117e-01
3.71112461e+00 6.95971559e-01 2.20447507e-02 1.18296596e-01 2.10782123e-09 9.63902386e-01
3.54785258e+00 6.74642747e-01 2.19730611e-02 1.17931074e-01 2.06596058e-09 9.69356914e-01
3.62587145e+00 7.20447237e-01 2.19112136e-02 1.17381459e-01 2.13473058e-09 9.60461091e-01
3.64750970e+00 6.86641068e-01 2.25335728e-02 1.22947180e-01 1.83341685e-09 9.64608014e-01
3.83929318e+00 6.97564130e-01 2.20758875e-02 1.25277010e-01 2.25537508e-09 9.68793675e-01
3.76973127e+00 7.12849838e-01 2.18006368e-02 1.21711638e-01 2.16221805e-09 9.57384333e-01
3.76748203e+00 7.18331358e-01 2.19047666e-02 1.22009464e-01 2.14892610e-09 9.65780904e-01
3.68806027e+00 6.85002838e-01 2.20474821e-02 1.23762746e-01 1.95492011e-09 9.67883161e-01
3.25560624e+00 7.26439513e-01 2.21718727e-02 1.18635783e-01 2.13868097e-09 9.63597590e-01
3.44966620e+00 6.94001088e-01 2.20472126e-02 1.17077013e-01 2.06067140e-09 9.62312643e-01
3.51502399e+00 6.77414230e-01 2.18068046e-02 1.23579845e-01 2.23878287e-09 9.62195799e-01
3.57514447e+00 6.95876298e-01 2.18043146e-02 1.18615657e-01 1.90952266e-09 9.67897528e-01
3.50985573e+00 6.98393365e-01 2.21199895e-02 1.05416559e-01 2.12554745e-09 9.62801704e-01
3.21850821e+00 7.08713559e-01 2.21358222e-02 1.16049804e-01 2.20672219e-09 9.58110532e-01
3.72250443e+00 6.65098818e-01 2.18832746e-02 1.15990914e-01 2.14642207e-09 9.65049689e-01
3.92938784e+00 6.98442697e-01 2.22882733e-02 1.24685871e-01 2.15765711e-09 9.65859092e-01
3.23125866e+00 7.03445559e-01 2.22696698e-02 1.14621851e-01 2.01125728e-09 9.59497498e-01
3.60114982e+00 7.47106321e-01 2.24398235e-02 1.17120712e-01 1.99180096e-09 9.57422074e-01
3.56719014e+00 6.97496306e-01 2.20088304e-02 1.23672072e-01 2.25781902e-09 9.64360696e-01
3.65745084e+00 6.80769770e-01 2.20252003e-02 1.21562031e-01 2.20519397e-09 9.71149133e-01
3.59524636e+00 7.25327203e-01 2.20461319e-02 1.20036170e-01 2.05825991e-09 9.73179253e-01
3.84728896e+00 7.33652529e-01 2.21718854e-02 1.24004055e-01 2.13691049e-09 9.69836478e-01
3.80247657e+00 7.02006125e-01 2.22034869e-02 1.15635650e-01 2.16706962e-09 9.67768640e-01
3.67301090e+00 7.31126102e-01 2.21127515e-02 1.20972475e-01 2.14644512e-09 9.66548516e-01
3.53418226e+00 6.99028039e-01 2.21171961e-02 1.20514266e-01 2.24045027e-09 9.61949169e-01
3.51242997e+00 7.02452266e-01 2.21079336e-02 1.17214529e-01 2.23125148e-09 9.59969781e-01
3.86542965e+00 6.90373937e-01 2.19492150e-02 1.18874954e-01 2.03764945e-09 9.65467126e-01
3.59560145e+00 6.86423680e-01 2.19272336e-02 1.15365468e-01 2.14179146e-09 9.65820611e-01
3.91655295e+00 6.96736160e-01 2.21237548e-02 1.21582264e-01 1.97707405e-09 9.68001741e-01
3.63997451e+00 6.87302285e-01 2.19918419e-02 1.25981619e-01 2.03013466e-09 9.67324206e-01
3.49015180e+00 6.95893027e-01 2.20633219e-02 1.20054192e-01 2.27696814e-09 9.58786559e-01
3.60606194e+00 6.91168752e-01 2.23124947e-02 1.20121822e-01 2.02997237e-09 9.64993676e-01
3.57316324e+00 6.93208565e-01 2.17990276e-02 1.23732843e-01 2.11821398e-09 9.64837313e-01
3.63027803e+00 7.23716980e-01 2.20549524e-02 1.19186040e-01 2.15892355e-09 9.63855791e-01
3.49648596e+00 7.12211174e-01 2.21706176e-02 1.21567164e-01 1.80291781e-09 9.67796085e-01
3.65596496e+00 6.97560912e-01 2.20477690e-02 1.23169715e-01 2.08858881e-09 9.65373458e-01
3.67071790e+00 6.96229672e-01 2.19344092e-02 1.20083076e-01 2.11735041e-09 9.66536886e-01
3.51217489e+00 6.83858148e-01 2.19275980e-02 1.24782340e-01 1.99366266e-09 9.73699979e-01
3.86686284e+00 7.31431902e-01 2.20607796e-02 1.18532135e-01 2.18476269e-09 9.64481628e-01
3.69447719e+00 6.99101659e-01 2.21515068e-02 1.16964492e-01 2.12469786e-09 9.62234366e-01
3.64797322e+00 6.95814832e-01 2.24619170e-02 1.24314074e-01 2.01871479e-09 9.64922267e-01
3.73122839e+00 6.98147629e-01 2.21214703e-02 1.15459944e-01 1.89665015e-09 9.65111090e-01
3.47656891e+00 6.84524826e-01 2.20871121e-02 1.17738499e-01 2.00449214e-09 9.66719182e-01
3.75186134e+00 7.24855657e-01 2.16489665e-02 1.21104157e-01 2.13013430e-09 9.69791400e-01
3.35515692e+00 7.13070872e-01 2.19779688e-02 1.19097306e-01 2.00968021e-09 9.69287210e-01
3.50853947e+00 7.03528630e-01 2.19769078e-02 1.19504898e-01 2.21862876e-09 9.62654109e-01
3.61758346e+00 7.02627681e-01 2.21677438e-02 1.20223968e-01 2.04822402e-09 9.63996971e-01
3.65385045e+00 6.99857802e-01 2.19642549e-02 1.12023138e-01 2.26330170e-09 9.59773772e-01
3.44198912e+00 6.85511441e-01 2.17331085e-02 1.14053160e-01 2.03185599e-09 9.66622999e-01
3.72492438e+00 7.21974519e-01 2.18622206e-02 1.14113051e-01 2.08800224e-09 9.64663054e-01
3.49473662e+00 6.80561080e-01 2.16547419e-02 1.20375931e-01 2.08564983e-09 9.61355924e-01
3.41167876e+00 7.29010163e-01 2.21449638e-02 1.20893864e-01 2.16361860e-09 9.66902603e-01
3.65887185e+00 7.07834181e-01 2.21235794e-02 1.13500777e-01 2.05396594e-09 9.62199828e-01
3.60934316e+00 6.71121177e-01 2.18229961e-02 1.20716716e-01 2.05642050e-09 9.71436608e-01
3.52919312e+00 6.77867030e-01 2.19080097e-02 1.18800083e-01 2.09627785e-09 9.64365308e-01
3.41685847e+00 7.05529633e-01 2.19353329e-02 1.27532065e-01 2.12335453e-09 9.65704230e-01
3.85541464e+00 7.29279801e-01 2.19463771e-02 1.13359338e-01 2.20413517e-09 9.65337201e-01
3.67906468e+00 7.25285582e-01 2.18125171e-02 1.13375371e-01 1.90960745e-09 9.58943428e-01
3.85018689e+00 7.30678278e-01 2.19412251e-02 1.21357065e-01 2.16934206e-09 9.64232477e-01
